freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	1985-S1 	1986-S1 	1987-S1 	1988-S1 	1989-S1 	1990-S1 	1990-S2 	1991-S1 	1991-S2 	1992-S1 	1992-S2 	1993-S1 	1993-S2 	1994-S1 	1994-S2 	1995-S1 	1995-S2 	1996-S1 	1996-S2 	1997-S1 	1997-S2 	1998-S1 	1998-S2 	1999-S1 	1999-S2 	2000-S1 	2000-S2 	2001-S1 	2001-S2 	2002-S1 	2002-S2 	2003-S1 	2003-S2 	2004-S1 	2004-S2 	2005-S1 	2005-S2 	2006-S1 	2006-S2 	2007-S1 	2007-S2 
S,4100,4141250,GJ_GCV,X_TAX,EUR,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.1900 	7.1900 	7.2800 	9.0100 	9.0100 	9.3700 	9.3700 
S,4100,4141250,GJ_GCV,X_TAX,EUR,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.4600 	8.1700 	9.2200 	9.6900 	9.0800 	8.1100 
S,4100,4141250,GJ_GCV,X_TAX,EUR,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.9767 	4.9831 	5.2155 	5.3283 	6.3948 	6.7844 	6.8898 	6.9798 
S,4100,4141250,GJ_GCV,X_TAX,EUR,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.2962 	3.8272 	4.5093 	4.7591 	5.1999 	5.1416 	4.5871 	4.9692 	4.5173 	4.4857 	5.3821 	5.5268 	7.6412 	7.9162 	6.9781 	6.9477 
S,4100,4141250,GJ_GCV,X_TAX,EUR,DE	7.0181 	7.3105 	5.1344 	4.3574 	3.9825 	4.5871 	: 	4.8028 	5.1111 	4.9910 	4.8178 	5.5869 	5.7972 	5.8507 	5.8701 	5.7489 	5.5894 	5.3299 	5.3066 	5.6268 	5.6549 	5.6382 	5.5595 	5.2561 	4.8828 	5.5168 	6.6826 	8.2523 	8.3954 	7.9200 	7.3900 	7.5400 	7.7650 	7.6360 	7.6300 	9.6400 	8.9700 	10.8700 	12.0800 	12.7500 	11.4700 
S,4100,4141250,GJ_GCV,X_TAX,EUR,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.9735 	6.7471 	8.9039 	9.6127 	10.9027 	9.0480 	7.4843 	8.0093 	8.2786 	7.6252 	8.4035 	10.8937 	12.4992 	11.9731 	13.1076 	16.0854 	13.5634 	14.3126 
S,4100,4141250,GJ_GCV,X_TAX,EUR,EA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.8800 	7.5000 	7.4400 	8.4700 	8.4500 	9.9000 	10.5900 	11.2100 	10.4200 p
S,4100,4141250,GJ_GCV,X_TAX,EUR,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.6233 	: 	3.6233 	3.6238 	3.6219 	3.6219 	3.6398 	4.0571 	4.6221 	5.8665 
S,4100,4141250,GJ_GCV,X_TAX,EUR,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.2476 	7.4000 	8.9800 	8.7530 	9.0716 	8.7648 
S,4100,4141250,GJ_GCV,X_TAX,EUR,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.2000 	7.0100 	7.1400 	8.0300 	8.0600 	9.2800 	10.2500 	11.1400 	10.1100 p
S,4100,4141250,GJ_GCV,X_TAX,EUR,EU25	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.8100 	6.9400 	7.7900 	7.8400 	9.0600 	9.9400 	10.8600 	: 
